Date,Days Past,Deaths Found
2014-04-16,0,
2014-04-17,1,18
2014-04-18,2,11
2014-04-19,3,4
2014-04-20,4,25
2014-04-21,5,29
2014-04-22,6,34
2014-04-23,7,38
2014-04-24,8,16
2014-04-25,9,10
2014-04-26,10,2
2014-04-27,11,1
2014-04-28,12,1
2014-04-29,13,16
2014-04-30,14,7
2014-05-01,15,9
2014-05-02,16,7
2014-05-03,17,8
2014-05-04,18,12
2014-05-05,19,14
2014-05-06,20,6
2014-05-07,21,1
2014-05-08,22,4
2014-05-09,23,1
2014-05-10,24,1
2014-05-11,25,
2014-05-12,26,
2014-05-13,27,1
2014-05-14,28,5
2014-05-15,29,3
2014-05-16,30,
2014-05-17,31,1
2014-05-18,32,1
2014-05-19,33,1
2014-05-20,34,
2014-05-21,35,1
2014-05-22,36,
2014-05-23,37,
2014-05-24,38,
2014-05-25,39,
2014-05-26,40,
2014-05-27,41,
2014-05-28,42,
2014-05-29,43,
2014-05-30,44,
2014-05-31,45,
2014-06-01,46,
2014-06-02,47,
2014-06-03,48,
2014-06-04,49,
2014-06-05,50,1
2014-06-06,51,1
2014-06-07,52,
2014-06-08,53,2
2014-06-09,54,
2014-06-10,55,
2014-06-11,56,
2014-06-12,57,
2014-06-13,58,
2014-06-14,59,
2014-06-15,60,
2014-06-16,61,
2014-06-17,62,
2014-06-18,63,
2014-06-19,64,
2014-06-20,65,
2014-06-21,66,
2014-06-22,67,
2014-06-23,68,
2014-06-24,69,1
2014-06-25,70,
2014-06-26,71,
2014-06-27,72,
2014-06-28,73,
2014-06-29,74,
2014-06-30,75,
2014-07-01,76,
2014-07-02,77,
2014-07-03,78,
2014-07-04,79,
2014-07-05,80,
2014-07-06,81,
2014-07-07,82,
2014-07-08,83,
2014-07-09,84,
2014-07-10,85,
2014-07-11,86,
2014-07-12,87,
2014-07-13,88,
2014-07-14,89,
2014-07-15,90,
2014-07-16,91,
2014-07-17,92,
2014-07-18,93,1
2014-07-19,94,
2014-07-20,95,
2014-07-21,96,
2014-07-22,97,
2014-07-23,98,
2014-07-24,99,
2014-07-25,100,
2014-07-26,101,
2014-07-27,102,
2014-07-28,103,
2014-07-29,104,
2014-07-30,105,
2014-07-31,106,
2014-08-01,107,
2014-08-02,108,
2014-08-03,109,
2014-08-04,110,
2014-08-05,111,
2014-08-06,112,
2014-08-07,113,
2014-08-08,114,
2014-08-09,115,
2014-08-10,116,
2014-08-11,117,
2014-08-12,118,
2014-08-13,119,
2014-08-14,120,
2014-08-15,121,
2014-08-16,122,
2014-08-17,123,
2014-08-18,124,
2014-08-19,125,
2014-08-20,126,
2014-08-21,127,
2014-08-22,128,
2014-08-23,129,
2014-08-24,130,
2014-08-25,131,
2014-08-26,132,
2014-08-27,133,
2014-08-28,134,
2014-08-29,135,
2014-08-30,136,
2014-08-31,137,
2014-09-01,138,
2014-09-02,139,
2014-09-03,140,
2014-09-04,141,
2014-09-05,142,
2014-09-06,143,
2014-09-07,144,
2014-09-08,145,
2014-09-09,146,
2014-09-10,147,
2014-09-11,148,
2014-09-12,149,
2014-09-13,150,
2014-09-14,151,
2014-09-15,152,
2014-09-16,153,
2014-09-17,154,
2014-09-18,155,
2014-09-19,156,
2014-09-20,157,
2014-09-21,158,
2014-09-22,159,
2014-09-23,160,
2014-09-24,161,
2014-09-25,162,
2014-09-26,163,
2014-09-27,164,
2014-09-28,165,
2014-09-29,166,
2014-09-30,167,
2014-10-01,168,
2014-10-02,169,
2014-10-03,170,
2014-10-04,171,
2014-10-05,172,
2014-10-06,173,
2014-10-07,174,
2014-10-08,175,
2014-10-09,176,
2014-10-10,177,
2014-10-11,178,
2014-10-12,179,
2014-10-13,180,
2014-10-14,181,
2014-10-15,182,
2014-10-16,183,
2014-10-17,184,
2014-10-18,185,
2014-10-19,186,
2014-10-20,187,
2014-10-21,188,
2014-10-22,189,
2014-10-23,190,
2014-10-24,191,
2014-10-25,192,
2014-10-26,193,
2014-10-27,194,
2014-10-28,195,1